epoch,train_epoch_loss,train_epoch_metrics_f1,train_epoch_metrics_roc,val_epoch_loss,val_epoch_metrics_f1,val_epoch_metrics_roc
0,0.6352248346411634,0.48297190997084355,0.9724734836922172,0.6345543154868586,0.6540555529892148,0.9900924456704636
1,0.6351487394208195,0.49337540029428895,0.9716774426735219,0.6346842552824267,0.5105842791073111,0.9738574865016695
2,0.6350459127590574,0.5252497085213942,0.9710298421057443,0.6343069212703869,0.5281892687069626,0.981521883574426
3,0.6348849959328942,0.5512366508949973,0.9744282791968752,0.634658058655673,0.632936014746245,0.9876969126815592
4, 0.6347873781689968, 0.5659574231030864, 0.9716026540062472, 0.6344311938717447, 0.497678137385863, 0.962711974789056
5, 0.6348583940202477, 0.5360065640250459, 0.9716214279793173, 0.6340806524044481, 0.5940642429618205, 0.9833443863522121
6, 0.6347136399869261, 0.5689382742409081, 0.9724460933054896, 0.6342613589147041, 0.5855847452768911, 0.98066847488331327,0.6345446520838244,0.5985355773727556,0.9737192760063418,0.6340889780428903,0.5852990432873671,0.9812229076310814
8,0.6346280937479145,0.583063834281942,0.9723672646369729,0.6342826210733118,0.7007859430013317,0.989330429345625
9,0.6344403978223088,0.6206451833600194,0.9772115110761692,0.6341072107697355,0.6226276856028119,0.9852585648747791
10,0.6344268794289265,0.6203275780370207,0.9785385750687725,0.6343265728190027,0.6112351513477606,0.9806439042151937
11,0.6346162060040167,0.5802627612041211,0.9656948603219031,0.6341251441887741,0.6040657200213817,0.9794208857209739
12,0.6344593197278593,0.6187582419592811,0.9782969167004979,0.6344162266829918,0.6766321331615316,0.9795058859318766
13,0.634637775948678,0.5773891011885913,0.9692310401526185,0.6341874437599346,0.6895679572040069,0.9910969119449149
14,0.634389880830529,0.6296619523553366,0.9744648128899616,0.6339422057157961,0.6053089130654349,0.9878582102080947
0,0.6746331642585239,0.023642802843375502,0.9711479073279172,0.6383073607395435,0.03148512771321475,0.9844333682176952
1,0.6376103340466132,0.08549781913607275,0.9768710070462426,0.636279211732848,0.06111277618916193,0.983918373446912
2,0.6364360593430612,0.1642784703768762,0.9611890000899749,0.635708738503785,0.04674842092220073,0.9843837551439855
3,0.6359205961484333,0.251363560896752,0.9787140113975378,0.635353212598069,0.20466403535654623,0.9824324203885095
4,0.6355815865955818,0.37469834804804547,0.9755700468373036,0.6347899656614353,0.47813138795509263,0.9871771703233787
5,0.6353706210509114,0.4510969130759624,0.970819365807299,0.6345971339735491,0.6301903429978021,0.9896139692340491
6,0.6352503247045237,0.47102367621727353,0.9719471680994124,0.634713534908048,0.49307921475591726,0.9736145705835914
7,0.6351147961171194,0.512754073547943,0.9706677172353354,0.6343269710396898,0.5197457828085438,0.9818493421155494
8,0.6349567917828587,0.5363812974732725,0.9747002740506255,0.6346403662243794,0.6217961523487516,0.9875554044893511
9,0.6348538225752184,0.5554992065585146,0.970701832164065,0.6345875391672398,0.45587488725548225,0.9550050249475839
10,0.6349134843839311,0.5258555694831326,0.9706052627219534,0.6341156806668331,0.5986836673213465,0.9841301799140869
11,0.6347648181106852,0.5600067684088603,0.9717626579966108,0.6342461956986065,0.5808941061283815,0.9808992701632931
12,0.6346102760697918,0.5889731161620708,0.9719445840021798,0.6340737419909445,0.5983124940842057,0.9825280423542483
13,0.6346403105591221,0.5843635880544698,0.9726439914158225,0.6342617184694471,0.7001884114166161,0.9894621262384873
14,0.634473469193982,0.6166519008149455,0.9765251369514454,0.6341243852572195,0.6303455792616839,0.9862349939448649
15,0.6344506875023075,0.6179813823025736,0.9788617269286223,0.6342807171930527,0.609280020282289,0.9810233743182412
16,0.6346203130723416,0.5770558760777945,0.9659161941228218,0.6341552203842278,0.6042806259389131,0.9795734384884904
17,0.6344780721541109,0.6163829290047699,0.9776860877399085,0.6343864404178899,0.6718202632156034,0.9774860648350993
18,0.634634223691691,0.5793956772816536,0.970637310940324,0.6342692782395872,0.6930687395290678,0.9913225624117081
19,0.6344072534863291,0.6262591395317609,0.9747839577891787,0.633963291115802,0.6016566947878978,0.987589263126371
20,0.6342939095593046,0.6485896159443569,0.9814218126406594,0.634065891648161,0.5697595123944561,0.9692710929636497
21,0.634406965825407,0.6163643603290243,0.9717279301692151,0.6341065600000578,0.6089493309474157,0.9815607224442054
22,0.6342579835447771,0.651343501663582,0.9805499823058579,0.6341107324536505,0.7026872101698369,0.9871258517754051
23,0.6342517059596106,0.6438703022913653,0.9770832985948175,0.6342385407408764,0.6016027980945647,0.9779340266707657
24,0.6342946172788225,0.619327144296974,0.9737853155300749,0.6340061647110972,0.6457494852847104,0.9875916864980525
25,0.6343850008286964,0.617493253074519,0.9744589676175682,0.635113263952321,0.3888469763832776,0.9481335843198703
26,0.6343366010435696,0.6474850383776393,0.9758276659820881,0.6343032459503618,0.4989013506886969,0.9460228090774008
27,0.634163928143252,0.6591522939225746,0.9788359656854062,0.6348200978647018,0.6908293150879772,0.9831964266695261
28,0.6341278484497948,0.6720370132672515,0.9792863901774783,0.6346485933353161,0.696254597439956,0.9886049550708637
29,0.6341742293416769,0.6645500533751474,0.9770443124034198,0.6339848891928278,0.638769749295019,0.9853342871196906
30,0.6341131162112472,0.6599381862370659,0.9801762419574364,0.6342792968297827,0.6777005336550747,0.9865452240787485
31,0.6341008396669366,0.6843345413581524,0.9804303592999114,0.6346656624870054,0.7196859237882407,0.9910742004229609
32,0.6341281514400723,0.6697511958092434,0.9814009912840629,0.6351744080411976,0.7225440631614578,0.9886951965511854
33,0.634148749811896,0.6584357945749816,0.9762020571802044,0.634337075696937,0.628206560090927,0.982641087212315
